Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
86000,510,86000,0.1,170,0.041979,180,180,170,170,40,35.021494,89.634533,25,0.025174,0.146224,0.828602,-10235.88687,95796.37095,62431.39914,20.175166,29.939422,10.400695,14.840188,53.583652,-0.117699,Case 1
92000,510,92000,0.1,170,0.03797,180,180,170,170,40,35.005049,89.562856,25,0.022239,0.146664,0.831097,-11886.57108,94068.71314,66738.87898,20.257639,30.047473,9.367833,15.934334,58.514574,-0.125782,Case 2
98000,510,98000,0.1,170,0.034985,180,180,170,170,40,35.020817,89.459309,25,0.019953,0.147007,0.83304,-14573.89646,92731.16416,69853.25318,20.318642,30.131585,8.604678,16.692714,62.222087,-0.125503,Case 3
104000,510,104000,0.1,170,0.032822,180,180,170,170,40,35.005815,89.306894,25,0.018117,0.147283,0.834601,-18519.82806,91566.79516,72232.09394,20.36791,30.201399,8.052649,17.263598,65.289112,-0.11868,Case 4
110000,510,110000,0.1,170,0.031688,180,180,170,170,40,35.011502,89.130365,25,0.017149,0.147428,0.835423,-22912.5487,90954.57019,73628.26123,20.398027,30.238265,7.764139,17.53774,66.848538,-0.103688,Case 5
116000,510,116000,0.1,170,0.03044,180,180,170,170,40,35.006977,88.941679,25,0.016049,0.147593,0.836358,-27837.45936,90502.16708,74684.44914,20.425415,30.278213,7.447773,17.866508,68.747316,-0.089559,Case 6
122000,510,122000,0.1,170,0.029622,180,180,170,170,40,35.006461,88.742697,25,0.015289,0.147707,0.837004,-33043.08501,89983.74764,75671.28903,20.446457,30.307823,7.240278,18.048388,69.93834,-0.072055,Case 7
128000,510,128000,0.1,170,0.02896,180,180,170,170,40,35.003796,88.547949,25,0.014663,0.147801,0.837537,-38372.36047,89635.19894,76370.22533,20.460154,30.331284,7.072972,18.178751,70.868578,-0.053305,Case 8
134000,510,134000,0.1,170,0.02819,180,180,170,170,40,35.010685,88.311921,25,0.013856,0.147922,0.838223,-44040.37152,89085.7923,77388.18123,20.490161,30.362747,6.878217,18.398724,72.341555,-0.035407,Case 9
140000,510,140000,0.1,170,0.02793,180,180,170,170,40,35.003672,88.127489,25,0.013624,0.147956,0.83842,-49305.9563,89096.88811,77553.29977,20.49113,30.370251,6.812801,18.424375,72.601401,-0.013498,Case 10
146000,510,146000,0.1,170,0.027541,180,180,170,170,40,35.003113,87.938089,25,0.013283,0.148008,0.83871,-54948.46937,88924.73972,77886.90035,20.492389,30.38274,6.714937,18.551306,73.329973,0.007404,Case 11
152000,510,152000,0.1,170,0.027091,180,180,170,170,40,35.003248,87.720945,25,0.012822,0.148077,0.839101,-60250.89294,88685.75209,78446.75148,20.514402,30.39999,6.601588,18.660747,74.12138,0.027826,Case 12
158000,510,158000,0.1,170,0.026712,180,180,170,170,40,35.003455,87.520466,25,0.012428,0.148136,0.839436,-65917.63422,88486.74806,78842.02824,20.523303,30.414672,6.506178,18.756254,74.820078,0.048805,Case 13
164000,510,164000,0.1,170,0.026214,180,180,170,170,40,35.00605,87.308445,25,0.011897,0.148215,0.839888,-71351.92369,88217.4333,79401.35014,20.544751,30.43453,6.381095,18.834637,75.575385,0.068863,Case 14
170000,510,170000,0.1,170,0.026028,180,180,170,170,40,35.006582,87.105029,25,0.011699,0.148245,0.840056,-77147.30572,88227.81107,79523.19326,20.548007,30.440912,6.334509,18.959661,76.247905,0.091355,Case 15
176000,510,176000,0.1,170,0.025757,180,180,170,170,40,35.007446,86.905687,25,0.011384,0.148292,0.840324,-82824.99126,87929.07332,79980.32678,20.556866,30.453911,6.266052,19.037445,76.850828,0.113169,Case 16
182000,510,182000,0.1,170,0.025471,180,180,170,170,40,35.007184,86.704036,25,0.011099,0.148335,0.840566,-88545.27889,87944.45696,80119.00615,20.564572,30.463086,6.194698,19.091952,77.307104,0.134894,Case 17
188000,510,188000,0.1,170,0.025235,180,180,170,170,40,35.00707,86.505104,25,0.010831,0.148375,0.840793,-94274.9363,87957.62075,80240.46856,20.570657,30.471716,6.135891,19.148591,77.785514,0.157007,Case 18
194000,510,194000,0.1,170,0.02503,180,180,170,170,40,35.006963,86.307928,25,0.010584,0.148412,0.841004,-100078.1663,87565.91177,80754.19098,20.578582,30.48333,6.083762,19.199093,78.231236,0.179327,Case 19
200000,510,200000,0.1,170,0.024806,180,180,170,170,40,35.006874,86.110544,25,0.010346,0.148448,0.841206,-105877.3138,87578.36615,80859.54389,20.584137,30.490973,6.027926,19.246931,78.640521,0.201532,Case 20
