Inputs - A2:,Outputs - A1:,Outputs - A2:,Outputs - A3:,Outputs - A4:,Outputs - A5:,Outputs - A6:,Outputs - A7:,Outputs - A8:,Outputs - A9:,Outputs - A10:,Outputs - A11:,Outputs - A12:,Outputs - A13:,Outputs - A14:,Outputs - A15:,Outputs - A16:,Outputs - A17:,Outputs - A18:,Outputs - A19:,Outputs - A20:,Outputs - A21:,Outputs - A22:,Outputs - A23:,Outputs - A24:,Outputs - A25:,State
,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,,
98000,900,98000,0.1,300,0.065041,180,180,170,170,40,35.001975,89.812406,25,0.037741,0.144339,0.81792,-10568.5326,186446.4342,66521.66943,34.955795,52.060532,29.026549,15.630153,31.572408,-0.091348,Case 1
104000,900,104000,0.1,300,0.063129,180,180,170,170,40,35.001834,89.789506,25,0.036215,0.144568,0.819217,-10983.63004,183908.1428,72513.84973,35.040934,52.160696,28.122488,16.458566,33.563375,-0.095437,Case 2
110000,900,110000,0.1,300,0.06136,180,180,170,170,40,35.011324,89.768418,25,0.034912,0.144763,0.820325,-11767.22279,182884.9449,77205.57274,35.108147,52.238494,27.291665,17.295508,35.517432,-0.097257,Case 3
116000,900,116000,0.1,300,0.059433,180,180,170,170,40,35.01318,89.749123,25,0.033398,0.14499,0.821612,-12447.40001,181275.3937,82355.66757,35.187023,52.333622,26.386916,18.19237,37.713744,-0.101368,Case 4
122000,900,122000,0.1,300,0.057408,180,180,170,170,40,34.998796,89.73119,25,0.031748,0.145238,0.823014,-13098.7976,179679.0726,87445.81087,35.271494,52.437671,25.437577,19.186051,40.219369,-0.106861,Case 5
128000,900,128000,0.1,300,0.055313,180,180,170,170,40,35.003908,89.713534,25,0.030012,0.145498,0.82449,-13826.68225,178001.2526,92582.16236,35.358125,52.546616,24.460308,20.196409,42.862179,-0.11322,Case 6
134000,900,134000,0.1,300,0.053311,180,180,170,170,40,34.999562,89.692619,25,0.028373,0.145744,0.825883,-14781.59006,176332.8551,97494.70936,35.440768,52.650768,23.528145,20.988037,45.061836,-0.118181,Case 7
140000,900,140000,0.1,300,0.051188,180,180,170,170,40,35.005675,89.671104,25,0.026516,0.146023,0.827461,-15759.32292,174762.6915,102317.0103,35.529696,52.766776,22.543615,22.02233,47.98901,-0.124765,Case 8
146000,900,146000,0.1,300,0.049197,180,180,170,170,40,35.005569,89.643294,25,0.024763,0.146285,0.828951,-16958.84902,173055.7495,106954.2241,35.61643,52.877903,21.623391,23.019063,50.889371,-0.129356,Case 9
152000,900,152000,0.1,300,0.0472,180,180,170,170,40,35.006207,89.604135,25,0.022931,0.14656,0.830509,-18678.7423,171450.4444,111309.157,35.704649,52.993124,20.702881,23.839053,53.565374,-0.133956,Case 10
158000,900,158000,0.1,300,0.045647,180,180,170,170,40,35.005736,89.547678,25,0.021449,0.146783,0.831768,-21114.59825,169840.0948,115056.4195,35.778426,53.089321,19.98759,24.589848,56.031807,-0.132194,Case 11
164000,900,164000,0.1,300,0.04442,180,180,170,170,40,35.005695,89.479352,25,0.020244,0.146963,0.832793,-24480.96061,168863.6024,117630.2368,35.829933,53.164557,19.425389,25.184777,58.081732,-0.125686,Case 12
170000,900,170000,0.1,300,0.043526,180,180,170,170,40,35.010824,89.387282,25,0.019328,0.147101,0.833571,-28250.53637,167993.7995,119709.1835,35.873829,53.222513,19.01686,25.57699,59.55925,-0.114414,Case 13
176000,900,176000,0.1,300,0.042813,180,180,170,170,40,35.003272,89.2852,25,0.018565,0.147215,0.834219,-32712.44878,168082.3268,120669.805,35.907779,53.265464,18.690852,25.843855,60.694017,-0.100584,Case 14
182000,900,182000,0.1,300,0.042116,180,180,170,170,40,35.00941,89.182827,25,0.017869,0.14732,0.834811,-37415.35317,166913.2638,122659.5291,35.942314,53.312825,18.372899,26.16112,61.89189,-0.086504,Case 15
188000,900,188000,0.1,300,0.04163,180,180,170,170,40,35.008544,89.080468,25,0.017333,0.1474,0.835267,-42417.65148,166976.2807,123237.4503,35.959861,53.342871,18.15194,26.461533,62.99668,-0.069418,Case 16
194000,900,194000,0.1,300,0.041075,180,180,170,170,40,35.008638,88.981603,25,0.01675,0.147487,0.835762,-46575.17343,166105.089,124752.1122,35.995018,53.381895,17.898885,26.618589,63.785749,-0.053326,Case 17
200000,900,200000,0.1,300,0.040624,180,180,170,170,40,35.005631,88.848734,25,0.016233,0.147565,0.836202,-52528.38431,166162.8731,125272.8404,36.019058,53.410839,17.694091,26.855155,64.762729,-0.035739,Case 18
