State,Inputs - Sour gas flowrate,Inputs - A2:,MEA liquid flowrate,Reboiler duty,Inlet CO2 composition,Inlet gas flowrate,Clean gas CO2%,Absorber pressure,Absorber outlet pressure,Stripper pressure,Stripper outlet pressure,Condenser temperature,MEA recycle temperature,Stripper inlet temperature,Inlet gas temperature,Recycle CO2%,Recycle MEA%,Recycle H20%,Cooling water energy,C100 energy,C200 energy,J100 energy,J101 energy,Sweet gas mass flow,gas recycle mass flow,regen recovery,OBJECTIVE (calculate here)
,kg/h,kJ/h,kg/h,kJ/h,,kg/h,,kPa,kPa,kPa,kPa,C,C,C,C,,,,kJ/h,kJ/h,kJ/h,kJ/h,kJ/h,kg/h,kg/h,%,
Case 1,40,80000,120,80000,0.1,40,0.006491,180,180,170,170,40,35.007601,82.117966,25,0.005999,0.1491,0.844901,-55676.06821,18788.62974,21277.88035,4.87516,7.21948,0.363857,5.569404,88.546472,0.146145
Case 2,40,86000,120,86000,0.1,40,0.006479,180,180,170,170,40,34.994895,81.414858,25,0.006028,0.149096,0.844876,-61620.54809,18805.74481,21265.20863,4.873935,7.218999,0.363185,5.593174,88.875355,0.17006
Case 3,40,92000,120,92000,0.1,40,0.006243,180,180,170,170,40,34.997519,80.741361,25,0.005643,0.149154,0.845203,-67585.29421,18744.29071,21356.95251,4.875883,7.223021,0.349768,5.604235,89.524077,0.19358
Case 4,40,98000,120,98000,0.1,40,0.006038,180,180,170,170,40,34.998778,80.087006,25,0.005299,0.149205,0.845496,-73543.45198,18699.94759,21430.97834,4.878047,7.226475,0.338141,5.607488,90.008093,0.217156
Case 5,40,104000,120,104000,0.1,40,0.005915,180,180,170,170,40,34.999877,79.473695,25,0.005007,0.149249,0.845744,-79523.11903,18657.68398,21495.89428,4.87954,7.22955,0.331093,5.609693,90.456641,0.240874
Case 6,40,110000,120,110000,0.1,40,0.00577,180,180,170,170,40,35.000727,78.857537,25,0.004752,0.149287,0.845961,-85490.89,18627.50014,21547.42482,4.881001,7.232054,0.322844,5.613488,90.850356,0.264554
Case 7,40,116000,120,116000,0.1,40,0.005674,180,180,170,170,40,35.000215,78.158269,25,0.004609,0.149309,0.846082,-91345.35062,18622.13194,21701.52688,4.898165,7.233245,0.317449,5.625115,91.157443,0.288323
Case 8,40,122000,120,122000,0.1,40,0.005577,180,180,170,170,40,35.00113,77.595368,25,0.004425,0.149336,0.846239,-97341.32713,18599.68961,21719.19768,4.896613,7.235066,0.311941,5.631831,91.523433,0.312089
Case 9,40,128000,120,128000,0.1,40,0.005496,180,180,170,170,40,35.001227,77.033216,25,0.004266,0.14936,0.846374,-103315.1602,18580.88542,21756.87099,4.898057,7.236635,0.307353,5.638915,91.855358,0.335882
Case 10,40,134000,120,134000,0.1,40,0.005423,180,180,170,170,40,35.00136,76.489521,25,0.004119,0.149382,0.846499,-109293.383,18564.03656,21787.89251,4.899021,7.238071,0.303232,5.644611,92.151849,0.359691
Case 11,40,140000,120,140000,0.1,40,0.005375,180,180,170,170,40,35.001451,75.961333,25,0.003987,0.149402,0.846611,-115271.9847,18542.33863,21823.17728,4.900009,7.239474,0.300486,5.649655,92.433234,0.383542
Case 12,40,146000,120,146000,0.1,40,0.00532,180,180,170,170,40,35.000758,75.430671,25,0.003869,0.14942,0.846712,-121227.7431,18527.26913,21881.75454,4.904714,7.240662,0.297343,5.654786,92.679006,0.407381
Case 13,40,152000,120,152000,0.1,40,0.005266,180,180,170,170,40,35.001647,74.950731,25,0.003756,0.149437,0.846807,-127282.8626,18515.87315,21862.80536,4.900389,7.241732,0.29432,5.658316,92.907681,0.431223
Case 14,40,158000,120,158000,0.1,40,0.005209,180,180,170,170,40,35.001568,74.462498,25,0.003638,0.149454,0.846908,-133237.1583,18502.75573,21900.63805,4.902898,7.242888,0.291052,5.660291,93.109738,0.455058
Case 15,40,164000,120,164000,0.1,40,0.005145,180,180,170,170,40,35.003915,73.993238,25,0.003522,0.149472,0.847006,-139181.594,18492.03044,21922.21149,4.903526,7.243974,0.287447,5.674504,93.489025,0.478882
Case 16,40,170000,120,170000,0.1,40,0.005102,180,180,170,170,40,35.003933,73.56237,25,0.003425,0.149486,0.847088,-145235.6677,18482.38056,21927.93967,4.902632,7.244897,0.28503,5.674106,93.633287,0.502744
Case 17,40,176000,120,176000,0.1,40,0.005061,180,180,170,170,40,35.003804,73.112749,25,0.003331,0.1495,0.847169,-151163.342,18473.00417,21959.96848,4.904982,7.245799,0.282711,5.675661,93.794792,0.526608
Case 18,40,182000,120,182000,0.1,40,0.005026,180,180,170,170,40,35.003769,72.675517,25,0.003248,0.149513,0.847239,-157148.9376,18465.05624,21973.33913,4.905262,7.24658,0.280712,5.676918,93.939069,0.550482
Case 19,40,188000,120,188000,0.1,40,0.004983,180,180,170,170,40,35.003693,72.248369,25,0.003167,0.149525,0.847308,-163129.9667,18455.49324,21992.71958,4.906123,7.247363,0.278301,5.677836,94.070618,0.574344
Case 20,40,194000,120,194000,0.1,40,0.004953,180,180,170,170,40,35.003835,71.838141,25,0.003093,0.149536,0.847371,-169208.0054,18448.59025,21995.07413,4.905222,7.248056,0.276589,5.678871,94.204555,0.598227
Case 21,40,200000,120,200000,0.1,40,0.004922,180,180,170,170,40,35.003568,71.432114,25,0.003018,0.149547,0.847434,-175147.7864,18441.67352,22017.00966,4.906772,7.248762,0.274874,5.678062,94.305117,0.62211
